created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence
2026-08-30 16:10:00+00:00,9.25,10.46,2991.59,1.44,20.63,True,1,False,0.11269078486240425,Z-Score
2026-08-30 16:11:00+00:00,16.37,22.69,2799.07,0.0,43.16,False,0,False,0.2154605418422782,None
2026-08-30 16:12:00+00:00,16.41,18.45,2751.02,0.0,43.28,False,0,False,0.22518802773405439,None
2026-08-30 16:13:00+00:00,20.98,25.54,2753.44,0.22,19.7,False,0,False,0.16985656600694132,None
2026-08-30 16:14:00+00:00,15.07,23.54,2937.33,0.0,20.83,False,0,False,0.25983544008161413,None
2026-08-30 16:15:00+00:00,12.42,12.12,3009.25,0.67,21.13,False,0,False,0.196228712867897,None
2026-08-30 16:16:00+00:00,14.27,12.55,2775.17,0.27,56.67,False,0,False,0.15276076538257283,None
2026-08-30 16:17:00+00:00,12.6,14.76,2632.34,0.22,19.87,False,0,False,0.2137365313353528,None
2026-08-30 16:18:00+00:00,13.39,16.57,2720.25,0.0,20.32,False,0,False,0.2549984565999185,None
2026-08-30 16:19:00+00:00,14.2,15.46,2680.6,0.0,20.99,False,0,False,0.24063467662048682,None
2026-08-30 16:20:00+00:00,16.28,20.01,2649.93,0.0,20.96,False,0,False,0.26729775423282126,None
2026-08-30 16:21:00+00:00,17.38,14.68,2792.31,0.0,20.21,False,0,False,0.24740143311522683,None
2026-08-30 16:22:00+00:00,18.27,22.3,2903.87,0.0,20.9,False,0,False,0.23760557161149326,None
2026-08-30 16:23:00+00:00,9.19,8.2,2655.13,0.0,20.1,False,0,False,0.1944649509670579,None
2026-08-30 16:24:00+00:00,16.57,18.48,2743.53,0.22,20.18,False,0,False,0.2458668848204249,None
2026-08-30 16:25:00+00:00,13.27,11.94,2874.59,0.0,20.63,False,0,False,0.27002566755010565,None
2026-08-30 16:26:00+00:00,10.51,8.65,2638.69,0.0,42.76,False,0,False,0.14887234106478536,None
2026-08-30 16:27:00+00:00,15.3,15.9,3171.69,0.0,20.45,True,1,False,0.28159357784028965,Z-Score
2026-08-30 16:28:00+00:00,17.08,19.74,2872.15,0.0,21.11,False,0,False,0.26588440383848483,None
2026-08-30 16:29:00+00:00,9.61,8.9,2649.08,0.0,20.37,False,0,False,0.2005369468687147,None
2026-08-30 16:30:00+00:00,15.41,12.88,2742.53,0.0,19.91,False,0,False,0.26568859247776916,None
2026-08-30 16:31:00+00:00,16.16,14.89,2841.75,0.0,48.26,False,0,False,0.21005151093540647,None
2026-08-30 16:32:00+00:00,11.83,16.31,2494.77,0.0,19.95,False,0,False,0.19916357784528083,None
2026-08-30 16:33:00+00:00,13.2,14.47,2816.61,0.0,52.14,False,0,False,0.18117452956317165,None
2026-08-30 16:34:00+00:00,16.04,17.81,2760.85,0.0,49.75,False,0,False,0.22336390984466847,None
2026-08-30 16:35:00+00:00,19.49,21.5,2811.67,0.0,20.37,False,0,False,0.24999514198090056,None
2026-08-30 16:36:00+00:00,19.9,27.08,2851.73,0.0,20.1,False,0,False,0.2215523482349922,None
2026-08-30 16:37:00+00:00,15.97,16.25,2909.52,0.0,53.31,False,0,False,0.21849508045983984,None
2026-08-30 16:38:00+00:00,13.23,17.45,2776.57,0.0,52.0,False,0,False,0.2128264174936494,None
2026-08-30 16:39:00+00:00,19.9,23.38,2782.59,0.0,20.01,False,0,False,0.2628900227796018,None
2026-08-30 16:40:00+00:00,12.35,12.93,2690.75,0.0,48.13,False,0,False,0.1923080350864813,None
2026-08-30 16:41:00+00:00,11.88,16.55,2706.65,0.0,38.6,False,0,False,0.21218725665430826,None
2026-08-30 16:42:00+00:00,14.4,17.45,2779.93,0.0,52.33,False,0,False,0.21545204385251016,None
2026-08-30 16:43:00+00:00,17.5,22.3,2735.65,0.0,20.08,False,0,False,0.2443322838140508,None
2026-08-30 16:44:00+00:00,15.65,18.58,2931.54,0.26,20.79,False,0,False,0.252429921002005,None
2026-08-30 16:45:00+00:00,14.31,20.75,2576.21,0.0,20.73,False,0,False,0.25559830272887757,None
2026-08-30 16:46:00+00:00,19.26,22.89,2758.09,0.0,42.35,False,0,False,0.213138130390696,None
2026-08-30 16:47:00+00:00,10.73,11.86,2748.23,0.0,19.79,False,0,False,0.23942973102396015,None
2026-08-30 16:48:00+00:00,13.59,14.83,2760.46,0.0,38.99,False,0,False,0.21825200804282402,None
2026-08-30 16:49:00+00:00,19.07,21.91,2899.78,0.71,36.89,False,0,False,0.1719774971373223,None
2026-08-30 16:50:00+00:00,17.37,18.76,2673.87,0.48,40.84,False,0,False,0.1858747524262198,None
2026-08-30 16:51:00+00:00,19.4,20.02,2837.7,0.0,42.99,False,0,False,0.21094413143255097,None
2026-08-30 16:52:00+00:00,15.57,16.06,2683.57,0.0,48.46,False,0,False,0.19162346538792935,None
2026-08-30 16:53:00+00:00,11.21,9.09,2750.32,0.0,20.68,False,0,False,0.21170298693640283,None
